Delivery Date,Portfolio Name,Portfolio Code,Total Injection (MWh),Total Drawal (MWh),Absolute Sum (MWh),Invoice,NLDC Application Charges,CTU Charges,NLDC Sch. & Oper. Charges,STU Charges,Distribution Charges,SLDC Charges,ALDC Charges,Fees,IGST,SGST,CGST,UTGST,Final Obligation
17/09/2018,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,S2TN0TPT0445,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Amara_Raja_Batteries_Ltd_TPT_145,S1AP0TPT0047,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Aurigene_Discovery_Technologies_Ltd_Bangalore,S1KA0TPT0525,0.00000000000,0.10000000000,0.10000000000,-458.17,20.41,27.41,0.10,8.00,19.00,1000.00,0.00,2.00,0.36,0.00,0.00,0.00,-1535.45,
17/09/2018,BST_Textile_Mills_Pvt_Ltd,N2UA0TPT0265,0.00000000000,2.10000000000,2.10000000000,-12038.98,20.41,417.48,2.10,214.70,0.00,1000.00,0.00,42.00,7.56,0.00,0.00,0.00,-13743.23,
17/09/2018,Bannari_Amman_Spinning_Mills_HTSC_171,S2TN0TPT0064,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Bannari_Amman_Spinning_Mills_HTSC_279,S2TN0TPT0066,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,S2TN0TPT0360,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Bhubaneshwar_Power_Private_Limited_Odisha,E2OR0TPT0550,-149.40000000000,0.00000000000,149.40000000000,1007487.18,20.41,52215.30,149.40,9337.50,0.00,2000.00,0.00,2988.00,537.84,0.00,0.00,0.00,940238.73,
17/09/2018,Britannia_Industries_Limited,N2UA0TPT0569,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2018,Burakia_Steel_and_Alloys,A2AS0TPT0544,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
