Period,MCP-Price,MCP-Buy Quantity,MCP-Sell Quantity,A1-Price,A1-Buy Quantity,A1-Sell Quantity,A2-Price,A2-Buy Quantity,A2-Sell Quantity,E1-Price,E1-Buy Quantity,E1-Sell Quantity,E2-Price,E2-Buy Quantity,E2-Sell Quantity,N1-Price,N1-Buy Quantity,N1-Sell Quantity,N2-Price,N2-Buy Quantity,N2-Sell Quantity,N3-Price,N3-Buy Quantity,N3-Sell Quantity,S1-Price,S1-Buy Quantity,S1-Sell Quantity,S2-Price,S2-Buy Quantity,S2-Sell Quantity,S3-Price,S3-Buy Quantity,S3-Sell Quantity,W1-Price,W1-Buy Quantity,W1-Sell Quantity,W2-Price,W2-Buy Quantity,W2-Sell Quantity,W3-Price,W3-Buy Quantity,W3-Sell Quantity
13:30 - 13:45,6599.96,8907.10,8907.10,6599.96,0.00,52.00,6599.96,348.00,90.00,6599.96,1421.00,860.70,6599.96,455.00,506.50,6599.96,568.70,139.90,6599.96,156.90,2423.20,6599.96,0.00,200.00,6599.96,10.00,1971.60,6599.96,0.00,82.30,6599.96,0.00,105.00,6599.96,33.80,1076.70,6599.96,5913.70,883.80,6599.96,0.00,515.40
13:45 - 14:00,7000.10,8981.10,8981.10,7000.10,0.00,52.00,7000.10,353.00,90.00,7000.10,1477.00,857.70,7000.10,455.00,506.50,7000.10,566.70,139.90,7000.10,141.90,2422.20,7000.10,0.00,200.00,7000.10,10.00,1971.60,7000.10,0.00,82.30,7000.10,0.00,115.00,7000.10,33.80,1076.50,7000.10,5943.70,892.00,7000.10,0.00,575.40
14:00 - 14:15,5500.76,8690.10,8690.10,5500.76,0.00,50.00,5500.76,363.00,90.00,5500.76,1278.00,832.70,5500.76,454.00,506.50,5500.76,560.60,145.90,5500.76,66.90,2325.40,5500.76,0.00,300.00,5500.76,10.10,1978.70,5500.76,0.00,82.30,5500.76,0.00,5.00,5500.76,33.80,1004.20,5500.76,5923.70,692.00,5500.76,0.00,677.40
14:15 - 14:30,5989.67,8741.50,8741.50,5989.67,0.00,50.00,5989.67,368.00,90.00,5989.67,1355.00,832.70,5989.67,454.00,506.50,5989.67,468.00,145.90,5989.67,66.90,2255.40,5989.67,0.00,300.00,5989.67,10.10,1978.70,5989.67,0.00,82.30,5989.67,0.00,71.80,5989.67,33.80,1028.80,5989.67,5985.70,692.00,5989.67,0.00,707.40
14:30 - 14:45,7000.76,8805.00,8805.00,7000.76,0.00,50.00,7000.76,378.00,90.00,7000.76,1409.00,832.70,7000.76,454.00,506.50,7000.76,500.30,145.90,7000.76,21.10,2224.40,7000.76,0.00,300.00,7000.76,10.10,1780.10,7000.76,0.00,82.30,7000.76,0.00,85.00,7000.76,33.80,1078.70,7000.76,5998.70,892.00,7000.76,0.00,737.40
14:45 - 15:00,7510.98,8749.90,8749.90,7510.98,0.00,50.00,7510.98,388.00,90.00,7510.98,1438.00,832.70,7510.98,454.00,506.50,7510.98,500.30,145.90,7510.98,6.90,2169.40,7510.98,0.00,300.00,7510.98,10.10,1780.10,7510.98,0.00,82.30,7510.98,0.00,85.00,7510.98,33.80,1078.60,7510.98,5918.80,892.00,7510.98,0.00,737.40
15:00 - 15:15,8550.47,8463.40,8463.40,8550.47,0.00,50.00,8550.47,393.00,90.00,8550.47,1145.60,870.70,8550.47,454.00,449.50,8550.47,500.30,155.90,8550.47,6.90,1667.40,8550.47,0.00,400.00,8550.47,10.10,1782.60,8550.47,0.00,87.50,8550.47,0.00,105.00,8550.47,33.80,1098.60,8550.47,5919.70,968.80,8550.47,0.00,737.40
15:15 - 15:30,8550.64,8314.30,8314.30,8550.64,0.00,50.00,8550.64,388.00,90.00,8550.64,1004.50,870.70,8550.64,454.00,449.50,8550.64,500.30,155.90,8550.64,6.90,1498.40,8550.64,0.00,400.00,8550.64,10.10,1782.60,8550.64,0.00,87.50,8550.64,0.00,105.00,8550.64,33.80,1118.50,8550.64,5916.70,968.80,8550.64,0.00,737.40
15:30 - 15:45,8550.44,8243.20,8243.20,8550.44,0.00,50.00,8550.44,383.00,90.00,8550.44,1069.40,870.70,8550.44,454.00,449.50,8550.44,500.30,155.90,8550.44,6.90,1507.40,8550.44,0.00,400.00,8550.44,10.10,1682.60,8550.44,0.00,87.50,8550.44,0.00,105.00,8550.44,33.80,1138.40,8550.44,5785.70,968.80,8550.44,0.00,737.40
15:45 - 16:00,8000.41,8233.90,8233.90,8000.41,0.00,50.00,8000.41,373.00,90.00,8000.41,1043.80,860.70,8000.41,454.00,449.50,8000.41,532.60,155.90,8000.41,6.90,1520.40,8000.41,0.00,400.00,8000.41,10.10,1682.60,8000.41,0.00,87.50,8000.41,0.00,105.00,8000.41,33.80,1138.30,8000.41,5779.70,956.60,8000.41,0.00,737.40
16:00 - 16:15,6599.30,8498.60,8498.60,6599.30,0.00,50.00,6599.30,310.60,90.00,6599.30,1449.00,840.70,6599.30,454.00,424.50,6599.30,584.90,865.60,6599.30,197.50,1499.40,6599.30,0.00,600.00,6599.30,10.10,1412.60,6599.30,0.00,87.50,6599.30,0.00,85.00,6599.30,33.80,1085.40,6599.30,5458.70,722.50,6599.30,0.00,735.40
16:15 - 16:30,6469.01,8393.60,8393.60,6469.01,0.00,50.00,6469.01,310.60,90.00,6469.01,1342.00,842.70,6469.01,454.00,424.50,6469.01,584.90,865.60,6469.01,197.50,1502.40,6469.01,0.00,600.00,6469.01,10.10,1412.60,6469.01,0.00,87.50,6469.01,0.00,85.00,6469.01,33.80,1035.90,6469.01,5460.70,662.00,6469.01,0.00,735.40
16:30 - 16:45,5989.21,8025.60,8025.60,5989.21,0.00,50.00,5989.21,320.60,90.00,5989.21,1273.00,835.70,5989.21,454.00,424.50,5989.21,584.90,865.60,5989.21,197.50,1505.24,5989.21,0.00,600.00,5989.21,10.10,1112.60,5989.21,0.00,87.50,5989.21,0.00,21.96,5989.21,33.80,1035.10,5989.21,5151.70,662.00,5989.21,0.00,735.40
16:45 - 17:00,5639.21,7903.60,7903.60,5639.21,0.00,50.00,5639.21,325.60,90.00,5639.21,1159.00,818.70,5639.21,454.00,424.50,5639.21,584.90,765.60,5639.21,197.50,1540.24,5639.21,0.00,600.00,5639.21,10.10,1112.60,5639.21,0.00,87.50,5639.21,0.00,5.00,5639.21,33.80,1012.06,5639.21,5138.70,662.00,5639.21,0.00,735.40
17:00 - 17:15,5500.22,7968.59,7968.59,5500.22,0.00,50.00,5500.22,362.00,90.00,5500.22,1261.00,818.70,5500.22,454.00,374.50,5500.22,681.59,1252.90,5500.22,177.50,1150.09,5500.22,0.00,700.00,5500.22,10.00,1107.60,5500.22,0.00,87.50,5500.22,0.00,5.00,5500.22,33.80,934.90,5500.22,4838.70,662.00,5500.22,150.00,735.40
17:15 - 17:30,5102.41,7710.10,7710.10,5102.41,0.00,50.00,5102.41,407.20,90.00,5102.41,1344.00,810.70,5102.41,454.00,374.50,5102.41,714.90,1252.90,5102.41,177.50,1132.70,5102.41,0.00,700.00,5102.41,10.00,894.60,5102.41,1.00,87.50,5102.41,0.00,5.00,5102.41,33.80,934.80,5102.41,4317.70,662.00,5102.41,250.00,715.40
17:30 - 17:45,5069.99,7304.70,7304.70,5069.99,0.00,40.00,5069.99,418.80,90.00,5069.99,1481.00,810.70,5069.99,454.00,299.50,5069.99,664.90,1250.90,5069.99,177.50,943.60,5069.99,0.00,700.00,5069.99,10.00,745.50,5069.99,1.00,87.50,5069.99,0.00,5.00,5069.99,33.80,934.60,5069.99,3793.70,662.00,5069.99,270.00,735.40
17:45 - 18:00,6200.48,7920.00,7920.00,6200.48,0.00,0.00,6200.48,470.60,90.00,6200.48,2001.00,810.70,6200.48,454.00,299.50,6200.48,621.40,1252.90,6200.48,177.50,1094.90,6200.48,0.00,700.00,6200.48,10.00,1107.60,6200.48,400.00,87.50,6200.48,0.00,85.00,6200.48,33.80,934.50,6200.48,3481.70,662.00,6200.48,270.00,795.40
18:00 - 18:15,5989.74,8066.00,8066.00,5989.74,20.00,2.00,5989.74,546.70,90.00,5989.74,2015.00,614.00,5989.74,664.00,301.80,5989.74,621.40,1073.30,5989.74,128.00,1539.70,5989.74,0.00,700.00,5989.74,4.60,1228.20,5989.74,500.00,87.50,5989.74,0.00,63.90,5989.74,23.60,903.10,5989.74,3262.70,667.10,5989.74,280.00,795.40
18:15 - 18:30,8000.67,7617.10,7617.10,8000.67,0.00,4.00,8000.67,570.60,90.00,8000.67,1909.00,612.00,8000.67,664.00,301.80,8000.67,629.40,598.30,8000.67,8.00,1574.70,8000.67,0.00,700.00,8000.67,1.70,928.20,8000.67,500.00,87.50,8000.67,0.00,105.00,8000.67,23.60,953.10,8000.67,3194.70,867.10,8000.67,116.10,795.40
18:30 - 18:45,8400.50,7217.60,7217.60,8400.50,0.00,4.00,8400.50,580.60,90.00,8400.50,1467.60,604.00,8400.50,764.00,301.80,8400.50,629.40,520.80,8400.50,8.00,1360.70,8400.50,0.00,700.00,8400.50,1.70,828.20,8400.50,700.00,87.50,8400.50,0.00,105.00,8400.50,23.60,953.10,8400.50,3042.70,867.10,8400.50,0.00,795.40
18:45 - 19:00,9150.65,7160.30,7160.30,9150.65,0.00,4.00,9150.65,600.60,90.00,9150.65,1312.30,609.00,9150.65,764.00,301.80,9150.65,629.40,494.90,9150.65,8.00,1374.30,9150.65,0.00,700.00,9150.65,1.70,828.20,9150.65,700.00,87.50,9150.65,0.00,5.00,9150.65,23.60,953.10,9150.65,3120.70,917.10,9150.65,0.00,795.40
19:00 - 19:15,10050.04,7468.40,7468.40,10050.04,0.00,8.00,10050.04,605.60,140.00,10050.04,2030.30,612.70,10050.04,664.00,307.30,10050.04,0.00,940.80,10050.04,7.40,1289.30,10050.04,0.00,700.00,10050.04,1.80,934.90,10050.04,1000.00,87.70,10050.04,0.00,5.00,10050.04,23.60,735.10,10050.04,3135.70,912.20,10050.04,0.00,795.40
19:15 - 19:30,10050.31,7148.40,7148.40,10050.31,0.00,8.00,10050.31,605.60,140.00,10050.31,1726.30,617.70,10050.31,664.00,307.30,10050.31,0.00,715.80,10050.31,7.40,1189.30,10050.31,0.00,700.00,10050.31,1.80,934.90,10050.31,1000.00,87.70,10050.31,0.00,5.00,10050.31,23.60,735.10,10050.31,3119.70,912.20,10050.31,0.00,795.40
19:30 - 19:45,10393.42,7206.10,7206.10,10393.42,0.00,9.00,10393.42,610.60,140.00,10393.42,2144.00,620.70,10393.42,664.00,307.30,10393.42,0.00,715.80,10393.42,7.40,1263.00,10393.42,0.00,700.00,10393.42,1.80,934.90,10393.42,900.00,87.70,10393.42,0.00,5.00,10393.42,23.60,715.10,10393.42,2854.70,912.20,10393.42,0.00,795.40
19:45 - 20:00,11000.41,7239.00,7239.00,11000.41,0.00,9.00,11000.41,610.60,140.00,11000.41,2023.30,622.70,11000.41,664.00,307.30,11000.41,0.00,640.80,11000.41,7.40,1388.90,11000.41,0.00,700.00,11000.41,1.80,934.90,11000.41,900.00,87.70,11000.41,0.00,5.00,11000.41,23.60,695.10,11000.41,2794.70,912.20,11000.41,213.60,795.40
20:00 - 20:15,9943.56,7437.90,7437.90,9943.56,0.00,10.00,9943.56,615.60,140.00,9943.56,2319.10,626.70,9943.56,739.00,307.30,9943.56,0.00,715.30,9943.56,21.20,1328.30,9943.56,0.00,700.00,9943.56,1.70,1134.90,9943.56,800.00,87.70,9943.56,0.00,5.00,9943.56,23.60,675.10,9943.56,2567.70,912.20,9943.56,350.00,795.40
20:15 - 20:30,9250.64,7325.40,7325.40,9250.64,0.00,12.00,9250.64,595.60,140.00,9250.64,1606.80,627.70,9250.64,739.00,307.30,9250.64,669.80,690.30,9250.64,21.20,1237.80,9250.64,0.00,700.00,9250.64,1.70,1134.90,9250.64,800.00,87.70,9250.64,0.00,5.00,9250.64,23.60,675.10,9250.64,2517.70,912.20,9250.64,350.00,795.40
20:30 - 20:45,9000.44,7364.40,7364.40,9000.44,0.00,12.00,9000.44,580.60,140.00,9000.44,1429.40,627.70,9000.44,739.00,307.30,9000.44,605.20,690.30,9000.44,21.20,1276.80,9000.44,0.00,700.00,9000.44,1.70,1134.90,9000.44,800.00,87.70,9000.44,0.00,5.00,9000.44,23.60,675.10,9000.44,2783.70,912.20,9000.44,380.00,795.40
20:45 - 21:00,8800.32,7466.40,7466.40,8800.32,0.00,10.00,8800.32,585.60,140.00,8800.32,1565.40,632.70,8800.32,739.00,307.30,8800.32,605.20,690.30,8800.32,21.20,1375.80,8800.32,0.00,700.00,8800.32,1.70,1134.90,8800.32,800.00,87.70,8800.32,0.00,5.00,8800.32,23.60,675.10,8800.32,2744.70,912.20,8800.32,380.00,795.40
21:00 - 21:15,8350.15,7010.50,7010.50,8350.15,0.00,10.00,8350.15,575.60,140.00,8350.15,1774.90,638.80,8350.15,664.00,310.90,8350.15,605.20,383.50,8350.15,22.90,1362.90,8350.15,0.00,600.00,8350.15,1.60,1134.40,8350.15,700.00,82.30,8350.15,0.00,5.00,8350.15,23.60,685.10,8350.15,2642.70,862.20,8350.15,0.00,795.40
21:15 - 21:30,8350.12,7003.50,7003.50,8350.12,0.00,12.00,8350.12,555.60,140.00,8350.12,1809.90,638.80,8350.12,664.00,310.90,8350.12,605.20,383.50,8350.12,22.90,1353.90,8350.12,0.00,600.00,8350.12,1.60,1134.40,8350.12,700.00,82.30,8350.12,0.00,5.00,8350.12,23.60,685.10,8350.12,2620.70,862.20,8350.12,0.00,795.40
21:30 - 21:45,8100.23,6795.50,6795.50,8100.23,0.00,12.00,8100.23,535.60,140.00,8100.23,1624.90,641.80,8100.23,664.00,310.90,8100.23,605.20,383.50,8100.23,22.90,1242.90,8100.23,0.00,500.00,8100.23,1.60,1134.40,8100.23,700.00,82.30,8100.23,0.00,5.00,8100.23,28.60,685.10,8100.23,2612.70,862.20,8100.23,0.00,795.40
21:45 - 22:00,8100.11,6914.50,6914.50,8100.11,0.00,14.00,8100.11,515.60,140.00,8100.11,1767.90,643.80,8100.11,664.00,310.90,8100.11,605.20,483.50,8100.11,22.90,1257.90,8100.11,0.00,500.00,8100.11,1.60,1134.40,8100.11,700.00,82.30,8100.11,0.00,5.00,8100.11,28.60,685.10,8100.11,2608.70,862.20,8100.11,0.00,795.40
22:00 - 22:15,8250.30,6579.20,6579.20,8250.30,0.00,30.00,8250.30,545.60,140.00,8250.30,1570.60,678.80,8250.30,664.00,310.90,8250.30,556.80,445.80,8250.30,14.30,769.40,8250.30,0.00,300.00,8250.30,1.60,1392.30,8250.30,600.00,82.20,8250.30,0.00,5.00,8250.30,28.60,735.10,8250.30,2597.70,894.30,8250.30,0.00,795.40
22:15 - 22:30,8250.42,6429.20,6429.20,8250.42,0.00,34.00,8250.42,530.60,140.00,8250.42,1422.90,678.80,8250.42,664.00,310.90,8250.42,556.80,356.70,8250.42,14.30,704.50,8250.42,0.00,300.00,8250.42,1.60,1392.30,8250.42,600.00,82.20,8250.42,0.00,5.00,8250.42,34.30,735.10,8250.42,2604.70,894.30,8250.42,0.00,795.40
22:30 - 22:45,8050.15,6551.60,6551.60,8050.15,0.00,37.00,8050.15,515.60,140.00,8050.15,1743.00,681.80,8050.15,664.00,310.90,8050.15,476.10,346.20,8050.15,14.30,638.50,8050.15,0.00,300.00,8050.15,1.60,1585.20,8050.15,500.00,82.20,8050.15,0.00,5.00,8050.15,34.30,735.10,8050.15,2602.70,894.30,8050.15,0.00,795.40
22:45 - 23:00,8050.06,6514.60,6514.60,8050.06,0.00,37.00,8050.06,500.60,140.00,8050.06,1828.80,681.80,8050.06,664.00,310.90,8050.06,379.30,346.20,8050.06,14.30,601.50,8050.06,0.00,300.00,8050.06,1.60,1585.20,8050.06,500.00,82.20,8050.06,0.00,5.00,8050.06,34.30,735.10,8050.06,2591.70,894.30,8050.06,0.00,795.40
23:00 - 23:15,7000.30,6898.50,6898.50,7000.30,13.90,28.00,7000.30,485.60,100.00,7000.30,2218.00,885.70,7000.30,455.00,304.50,7000.30,347.00,604.30,7000.30,6.40,593.50,7000.30,0.00,200.00,7000.30,1.60,1677.50,7000.30,400.00,82.20,7000.30,0.00,5.00,7000.30,34.30,688.10,7000.30,2536.70,894.30,7000.30,400.00,835.40
23:15 - 23:30,7100.47,6826.50,6826.50,7100.47,0.00,22.00,7100.47,490.60,100.00,7100.47,2218.00,885.70,7100.47,455.00,304.50,7100.47,347.00,604.30,7100.47,6.40,577.50,7100.47,0.00,200.00,7100.47,1.60,1677.50,7100.47,400.00,82.20,7100.47,0.00,5.00,7100.47,34.30,688.10,7100.47,2473.60,894.30,7100.47,400.00,785.40
23:30 - 23:45,6400.89,6591.50,6591.50,6400.89,20.00,24.00,6400.89,445.60,100.00,6400.89,2289.90,890.70,6400.89,455.00,304.50,6400.89,347.00,604.30,6400.89,126.40,605.50,6400.89,0.00,200.00,6400.89,1.60,1677.50,6400.89,0.00,82.20,6400.89,0.00,5.00,6400.89,34.30,638.10,6400.89,2471.70,694.30,6400.89,400.00,765.40
23:45 - 24:00,6400.61,6595.50,6595.50,6400.61,20.00,26.00,6400.61,405.60,100.00,6400.61,2428.30,890.70,6400.61,455.00,304.50,6400.61,306.60,604.30,6400.61,126.40,627.50,6400.61,0.00,200.00,6400.61,1.60,1677.50,6400.61,0.00,82.20,6400.61,0.00,5.00,6400.61,34.30,638.10,6400.61,2417.70,694.30,6400.61,400.00,745.40
Min,4087.83,6383.20,6383.20,4087.83,0.00,0.00,4087.83,8.10,45.00,4087.83,660.00,604.00,4087.83,454.00,299.50,4087.83,0.00,139.90,4087.83,5.40,577.50,4087.83,0.00,200.00,4087.83,1.60,681.30,4087.83,0.00,50.50,4087.83,0.00,5.00,4087.83,23.60,638.10,4087.83,1635.70,662.00,4087.83,0.00,431.50
Max,11000.41,8981.10,8981.10,11000.41,20.00,116.00,11000.41,615.60,150.00,11000.41,3232.00,1084.60,11000.41,764.00,507.60,11000.41,1091.70,1339.10,11000.41,385.40,2443.20,11000.41,0.00,700.00,11000.41,51.01,2474.40,11000.41,1000.00,87.70,11000.41,0.00,155.00,11000.41,38.80,1138.40,11000.41,5998.70,996.00,11000.41,400.00,835.40
Average,6690.71,7410.30,7410.30,6690.71,0.77,57.45,6690.71,320.99,95.00,6690.71,1710.04,846.11,6690.71,516.58,404.90,6690.71,553.70,567.22,6690.71,85.37,1240.42,6690.71,0.00,331.25,6690.71,11.31,1420.61,6690.71,209.88,82.10,6690.71,0.00,52.32,6690.71,33.02,880.63,6690.71,3857.89,836.51,6690.71,110.74,595.79
Sum,642308.42,711388.85,711388.85,642308.42,73.90,5515.00,642308.42,30815.50,9120.00,642308.42,164164.02,81226.50,642308.42,49592.00,38870.20,642308.42,53155.38,54452.80,642308.42,8195.26,119080.47,642308.42,0.00,31800.00,642308.42,1086.22,136378.10,642308.42,20148.49,7881.60,642308.42,0.00,5022.86,642308.42,3169.90,84540.66,642308.42,370357.40,80304.86,642308.42,10630.78,57195.80
