Delivery Date,Portfolio Name,Portfolio Code,Total Injection (MWh),Total Drawal (MWh),Absolute Sum (MWh),Invoice,NLDC Application Charges,CTU Charges,NLDC Sch. & Oper. Charges,STU Charges,Distribution Charges,SLDC Charges,ALDC Charges,Fees,IGST,SGST,CGST,UTGST,Final Obligation
18/09/2018,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,S2TN0TPT0445,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Amara_Raja_Batteries_Ltd_TPT_145,S1AP0TPT0047,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Aurigene_Discovery_Technologies_Ltd_Bangalore,S1KA0TPT0525,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,BST_Textile_Mills_Pvt_Ltd,N2UA0TPT0265,0.00000000000,1.90000000000,1.90000000000,-10500.71,20.83,377.72,1.90,194.26,0.00,1000.00,0.00,38.00,6.84,0.00,0.00,0.00,-12140.26,
18/09/2018,Bannari_Amman_Spinning_Mills_HTSC_171,S2TN0TPT0064,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Bannari_Amman_Spinning_Mills_HTSC_279,S2TN0TPT0066,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,S2TN0TPT0360,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Bhubaneshwar_Power_Private_Limited_Odisha,E2OR0TPT0550,-172.80000000000,0.00000000000,172.80000000000,1237987.34,20.83,60393.60,172.80,10800.00,0.00,2000.00,0.00,3456.00,622.08,0.00,0.00,0.00,1160522.03,
18/09/2018,Birla_Tyres,E2OR0TPT0530,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Britannia_Industries_Limited,N2UA0TPT0569,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Burakia_Steel_and_Alloys,A2AS0TPT0544,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Essar_Oil_Ltd,W2GJ0TPT0564,-224.72500000000,0.00000000000,224.72500000000,1513949.20,20.83,19258.93,200.00,82968.47,0.00,1000.00,0.00,4494.50,809.01,0.00,0.00,0.00,1405197.46,
18/09/2018,Exide_Industries_Ltd_Rewari,N1HR0TPT0263,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),N1SJ0TPT0532,-196.47500000000,0.00000000000,196.47500000000,1379661.95,20.83,31652.12,196.48,0.00,0.00,0.00,0.00,3929.50,707.31,0.00,0.00,0.00,1343155.71,
18/09/2018,Ganesha_Ecosphere_Ltd,N2UA0TPT0155,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Gland_Pharma_Limited_(MCL_766),S1TG0TPT0318,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Gland_Pharma_Limited_(VSP_576),S1AP0TPT0344,0.00000000000,0.32500000000,0.32500000000,-1582.67,20.83,113.59,0.33,42.63,5.81,1000.00,0.00,6.50,1.17,0.00,0.00,0.00,-2773.53,
18/09/2018,Gland_Pharma_Limited_SGR_1953,S1TG0TPT0464,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),N1KW1TPT0364,-1398.15000000000,0.00000000000,1398.15000000000,10164445.26,20.83,225241.97,200.00,0.00,0.00,0.00,0.00,27963.00,5033.34,0.00,0.00,0.00,9905986.12,
18/09/2018,HPCL_VSP_VZA_Pipe_Line_VSP_308,S1AP0TPT0566,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Hindustan_Petroleum_Corporation_Limited_RJY_388,S1AP0TPT0567,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),W2MH0TPT0565,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,India_Cements_Ltd_VKB_708_Tandur,S1TG0TPT0049,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,KPR_Mill_Ltd_Arasur_HTSC_275,S2TN0TPT0061,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,KPR_Mill_Ltd_Arasur_HTSC_641,S2TN0TPT0233,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,KPR_Mill_Ltd_Kodiveri_HTSC_81,S2TN0TPT0062,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,K_D_Cements,A2AS0TPT0538,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,K_P_R_Mills_Ltd,S2TN0TPT0050,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,MGM_Minerals_Ltd,E2OR0TPT0474,-76.80000000000,0.00000000000,76.80000000000,501242.18,20.83,26841.60,76.80,4800.00,0.00,2000.00,0.00,1536.00,276.48,0.00,0.00,0.00,465690.47,
18/09/2018,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,S2TN0TPT0183,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2018,Mantri_Mettallics_Pvt_Ltd_Pantnagar,N2UA0TPT0141,0.00000000000,19.50000000000,19.50000000000,-139118.26,20.83,3876.60,19.50,1993.68,0.00,1000.00,0.00,390.00,70.20,0.00,0.00,0.00,-146489.07,
