Participant Code:,W2MH0TPT0000,,,Participant Name,TATA Power Trading Company Ltd.,,,Date,17/09/2018
,Required Total Margin (Rs.),,,8344770.00,,,,,
,Deposit,Available (Rs),Utilised (Rs),Balance (Rs),,,,,
I,Initial Deposit,2500000.00,2500000.00,0.00,,,,,
II,Cash Margin ( Additional) Available,8333330.00,2922385.00,5410945.00,,,,,
III,Total Non Cash Margin Available,5000000.00,2922385.00,2077615.00,,,,,
IV,Cash Margin Surplus,,,5410945.00,,,,,
Portfoliowise Purchase Turnover for last 7 days (Sell Turnover not considered for margin),,,,,,,,,
SR. No,Portfolio,11/09/2018,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,17/09/2018,Average TurnOver
1,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Amara_Raja_Batteries_Ltd_TPT_145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Aurigene_Discovery_Technologies_Ltd_Bangalore,-23734.96,-16583.51,-17036.76,-5987.41,-13142.54,-1535.45,0.00,-11145.80
4,BST_Textile_Mills_Pvt_Ltd,-11891.52,-12354.17,-13087.84,-12743.59,-12536.78,-13743.23,-12140.26,-12642.48
5,Bannari_Amman_Spinning_Mills_HTSC_171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Bannari_Amman_Spinning_Mills_HTSC_279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,-4832.22,-5620.04,-1393.59,0.00,0.00,0.00,0.00,-1692.26
8,Bhubaneshwar_Power_Private_Limited_Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Birla_Tyres,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Britannia_Industries_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Burakia_Steel_and_Alloys,-61930.62,-39726.79,-7577.93,0.00,-18378.49,0.00,0.00,-18230.55
12,Dr_Reddy_Laboratories_Ltd_NLG_225,-50259.02,-59634.46,-28537.84,0.00,0.00,0.00,0.00,-19775.90
13,Dr_Reddys_Laboratories_Ltd_CTO3_(SGR_217),-41947.29,-52284.25,-18405.72,-4358.52,0.00,0.00,0.00,-16713.68
14,Dr_Reddys_Laboratories_Ltd_CTO_4_(MCL_295),-31497.68,-39071.95,-13811.67,-3584.46,0.00,0.00,0.00,-12566.54
15,Dr_Reddys_Laboratories_Ltd_FTO_III_(MCL_696),-93307.33,-92138.33,-44957.02,0.00,-50845.46,0.00,0.00,-40178.31
16,Dr_Reddys_Laboratories_Ltd_FTO_Unit_VII_(VSP_486),-79766.29,-98608.27,-35014.21,0.00,0.00,0.00,0.00,-30484.11
17,Dr_Reddys_Laboratories_Ltd_Unit_II_(SGR_127),-31315.19,-37085.61,-17328.59,0.00,0.00,0.00,0.00,-12247.06
18,Dr_Reddys_Laboratories_Ltd_Unit_I_(SGR_123),-57841.42,-68657.85,-31601.55,0.00,0.00,0.00,0.00,-22585.83
19,Dr_Reddys_Laboratories_Ltd_Unit_VI_SKL_091,-115859.60,-123907.15,-42594.17,-8971.58,0.00,0.00,0.00,-41618.93
20,Essar_Oil_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Exide_Industries_Ltd_Rewari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Ganesha_Ecosphere_Ltd,-10223.13,0.00,0.00,0.00,0.00,0.00,0.00,-1460.45
24,Gland_Pharma_Limited_(MCL_766),-140168.29,-139190.81,-70080.06,-24756.36,-86353.10,-5470.31,0.00,-66574.13
25,Gland_Pharma_Limited_(VSP_576),-49846.75,-58459.65,-23840.60,-9096.38,-36188.23,-2551.85,-2773.53,-26108.14
26,Gland_Pharma_Limited_SGR_1953,-98516.07,-117018.81,-49675.85,-17634.45,-67832.26,-4481.45,0.00,-50736.98
27,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,HPCL_VSP_VZA_Pipe_Line_VSP_308,0.00,-11221.71,0.00,0.00,-1850.70,0.00,0.00,-1867.49
29,Hindustan_Petroleum_Corporation_Limited_RJY_388,-3479.20,-21891.54,-3312.34,0.00,0.00,0.00,0.00,-4097.58
30,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),-5301584.64,-5527600.86,0.00,0.00,0.00,0.00,0.00,-1547026.50
31,Huhtamaki_PPL_Limited_(formerly_The_Paper_Products_Limited_SGR_085),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,India_Cements_Ltd_VKB_708_Tandur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,KPR_Mill_Ltd_Arasur_HTSC_275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,KPR_Mill_Ltd_Arasur_HTSC_641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,KPR_Mill_Ltd_Kodiveri_HTSC_81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,K_D_Cements,-62236.45,-41401.56,-22764.45,-8591.01,-34715.40,0.00,0.00,-24244.12
37,K_P_R_Mills_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,MGM_Minerals_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,MMG_Steels_(P)_Ltd_(SGR_459),0.00,-6502.98,0.00,0.00,0.00,0.00,0.00,-929.00
40,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,-22787.45,0.00,0.00,0.00,0.00,0.00,0.00,-3255.35
41,Mantri_Mettallics_Pvt_Ltd_Pantnagar,-113702.47,-117470.06,-139150.60,-150925.53,-147911.80,-65129.63,-146489.07,-125825.59
42,Mat_Brakes_India_Pvt_Ltd_Sonepat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Mumbai _International_Airport_Pvt_Ltd_900000784496,-207781.78,-216547.02,0.00,0.00,0.00,0.00,0.00,-60618.40
44,Mumbai_International_Airport_Pvt_Ltd_900000038075,-153697.08,-137599.65,0.00,0.00,0.00,0.00,0.00,-41613.82
45,Mumbai_International_Airport_Pvt_Ltd_900000784502,-348402.01,-340607.16,0.00,0.00,0.00,0.00,0.00,-98429.88
46,Mumbai_International_Airport_Pvt_Ltd_900000784514,-207781.78,-216547.02,0.00,0.00,0.00,0.00,0.00,-60618.40
47,Mumbai_International_Airport_Pvt_Ltd_900000784521,-229415.67,-227825.21,0.00,0.00,0.00,0.00,0.00,-65320.13
48,Mumbai_International_Airport_Pvt_Ltd_900000787014,-207781.78,-216547.02,0.00,0.00,0.00,0.00,0.00,-60618.40
49,NACL_Industries_Ltd_SKL_099,-25578.38,-37435.64,-29139.78,0.00,-15138.91,0.00,0.00,-15327.53
50,Nav_Bharat_ventures_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Nava_Bharat_Energy_India_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Nava_Bharat_Ventures_Ltd_Paloncha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Netmagic_IT_Services_Pvt_Ltd_900000746247,-218598.73,0.00,0.00,0.00,0.00,0.00,0.00,-31228.39
54,Netmagic_IT_Services_Pvt_Ltd_900000746258,-207781.78,0.00,0.00,0.00,0.00,0.00,0.00,-29683.11
55,Netmagic_IT_Services_Pvt_Ltd_900000865337,-132063.20,0.00,0.00,0.00,0.00,0.00,0.00,-18866.17
56,Netmagic_IT_Services_Pvt_Ltd_900000900597,-207781.78,0.00,0.00,0.00,0.00,0.00,0.00,-29683.11
57,Netmagic_Solutions_Pvt_Ltd_900000041557,-132063.20,0.00,0.00,0.00,0.00,0.00,0.00,-18866.17
58,Netmagic_Solutions_Pvt_Ltd_900000068965,-121246.26,0.00,0.00,0.00,0.00,0.00,0.00,-17320.89
59,Netmagic_Solutions_Pvt_Ltd_900000080207,-142880.14,0.00,0.00,0.00,0.00,0.00,0.00,-20411.45
60,Rapid_Metro_Rail_Gurgaon_South_Ltd_Sector_53_Gurgaon,-80802.34,-64631.16,0.00,0.00,0.00,0.00,0.00,-20776.21
61,Rico_Auto_Industries_Ltd,-395793.11,-297604.82,-412519.69,0.00,0.00,0.00,0.00,-157988.23
