Participant Code:,W2MH0TPT0000,,,Participant Name,TATA Power Trading Company Ltd.,,,Date,18/09/2018
,Required Total Margin (Rs.),,,7874610.00,,,,,
,Deposit,Available (Rs),Utilised (Rs),Balance (Rs),,,,,
I,Initial Deposit,2500000.00,2500000.00,0.00,,,,,
II,Cash Margin ( Additional) Available,8333330.00,2687305.00,5646025.00,,,,,
III,Total Non Cash Margin Available,5000000.00,2687305.00,2312695.00,,,,,
IV,Cash Margin Surplus,,,5646025.00,,,,,
Portfoliowise Purchase Turnover for last 7 days (Sell Turnover not considered for margin),,,,,,,,,
SR. No,Portfolio,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,17/09/2018,18/09/2018,Average TurnOver
1,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Amara_Raja_Batteries_Ltd_TPT_145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Aurigene_Discovery_Technologies_Ltd_Bangalore,-16583.51,-17036.76,-5987.41,-13142.54,-1535.45,0.00,-4177.86,-8351.93
4,BST_Textile_Mills_Pvt_Ltd,-12354.17,-13087.84,-12743.59,-12536.78,-13743.23,-12140.26,-12619.25,-12746.45
5,Bannari_Amman_Spinning_Mills_HTSC_171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Bannari_Amman_Spinning_Mills_HTSC_279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,-5620.04,-1393.59,0.00,0.00,0.00,0.00,-8743.76,-2251.06
8,Bhubaneshwar_Power_Private_Limited_Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Birla_Tyres,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Britannia_Industries_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Burakia_Steel_and_Alloys,-39726.79,-7577.93,0.00,-18378.49,0.00,0.00,0.00,-9383.32
12,Dr_Reddy_Laboratories_Ltd_NLG_225,-59634.46,-28537.84,0.00,0.00,0.00,0.00,0.00,-12596.04
13,Dr_Reddys_Laboratories_Ltd_CTO3_(SGR_217),-52284.25,-18405.72,-4358.52,0.00,0.00,0.00,0.00,-10721.21
14,Dr_Reddys_Laboratories_Ltd_CTO_4_(MCL_295),-39071.95,-13811.67,-3584.46,0.00,0.00,0.00,0.00,-8066.87
15,Dr_Reddys_Laboratories_Ltd_FTO_III_(MCL_696),-92138.33,-44957.02,0.00,-50845.46,0.00,0.00,0.00,-26848.69
16,Dr_Reddys_Laboratories_Ltd_FTO_Unit_VII_(VSP_486),-98608.27,-35014.21,0.00,0.00,0.00,0.00,0.00,-19088.93
17,Dr_Reddys_Laboratories_Ltd_Unit_II_(SGR_127),-37085.61,-17328.59,0.00,0.00,0.00,0.00,0.00,-7773.46
18,Dr_Reddys_Laboratories_Ltd_Unit_I_(SGR_123),-68657.85,-31601.55,0.00,0.00,0.00,0.00,0.00,-14322.77
19,Dr_Reddys_Laboratories_Ltd_Unit_VI_SKL_091,-123907.15,-42594.17,-8971.58,0.00,0.00,0.00,0.00,-25067.56
20,Essar_Oil_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Exide_Industries_Ltd_Rewari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Ganesha_Ecosphere_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Gland_Pharma_Limited_(MCL_766),-139190.81,-70080.06,-24756.36,-86353.10,-5470.31,0.00,-20544.85,-49485.07
25,Gland_Pharma_Limited_(VSP_576),-58459.65,-23840.60,-9096.38,-36188.23,-2551.85,-2773.53,-7087.46,-19999.67
26,Gland_Pharma_Limited_SGR_1953,-117018.81,-49675.85,-17634.45,-67832.26,-4481.45,0.00,-15039.54,-38811.77
27,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,HPCL_VSP_VZA_Pipe_Line_VSP_308,-11221.71,0.00,0.00,-1850.70,0.00,0.00,0.00,-1867.49
29,Hindustan_Petroleum_Corporation_Limited_RJY_388,-21891.54,-3312.34,0.00,0.00,0.00,0.00,0.00,-3600.55
30,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),-5527600.86,0.00,0.00,0.00,0.00,0.00,0.00,-789657.27
31,Huhtamaki_PPL_Limited_(formerly_The_Paper_Products_Limited_SGR_085),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,India_Cements_Ltd_VKB_708_Tandur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Jindal_India_Thermal_Power_Limited_(JITPL)_TPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,KPR_Mill_Ltd_Arasur_HTSC_275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,KPR_Mill_Ltd_Arasur_HTSC_641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,KPR_Mill_Ltd_Kodiveri_HTSC_81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,K_D_Cements,-41401.56,-22764.45,-8591.01,-34715.40,0.00,0.00,-3381.63,-15836.29
38,K_P_R_Mills_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,MGM_Minerals_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,MMG_Steels_(P)_Ltd_(SGR_459),-6502.98,0.00,0.00,0.00,0.00,0.00,0.00,-929.00
41,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mantri_Mettallics_Pvt_Ltd_Pantnagar,-117470.06,-139150.60,-150925.53,-147911.80,-65129.63,-146489.07,-162678.17,-132822.12
43,Mat_Brakes_India_Pvt_Ltd_Sonepat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Mumbai _International_Airport_Pvt_Ltd_900000784496,-216547.02,0.00,0.00,0.00,0.00,0.00,0.00,-30935.29
45,Mumbai_International_Airport_Pvt_Ltd_900000038075,-137599.65,0.00,0.00,0.00,0.00,0.00,0.00,-19657.09
46,Mumbai_International_Airport_Pvt_Ltd_900000784502,-340607.16,0.00,0.00,0.00,0.00,0.00,0.00,-48658.17
47,Mumbai_International_Airport_Pvt_Ltd_900000784514,-216547.02,0.00,0.00,0.00,0.00,0.00,0.00,-30935.29
48,Mumbai_International_Airport_Pvt_Ltd_900000784521,-227825.21,0.00,0.00,0.00,0.00,0.00,0.00,-32546.46
49,Mumbai_International_Airport_Pvt_Ltd_900000787014,-216547.02,0.00,0.00,0.00,0.00,0.00,0.00,-30935.29
50,NACL_Industries_Ltd_SKL_099,-37435.64,-29139.78,0.00,-15138.91,0.00,0.00,0.00,-11673.48
51,Nav_Bharat_ventures_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Nava_Bharat_Energy_India_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Nava_Bharat_Ventures_Ltd_Paloncha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Netmagic_IT_Services_Pvt_Ltd_900000746247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Netmagic_IT_Services_Pvt_Ltd_900000746258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Netmagic_IT_Services_Pvt_Ltd_900000865337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Netmagic_IT_Services_Pvt_Ltd_900000900597,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Netmagic_Solutions_Pvt_Ltd_900000041557,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Netmagic_Solutions_Pvt_Ltd_900000068965,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Netmagic_Solutions_Pvt_Ltd_900000080207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Rapid_Metro_Rail_Gurgaon_South_Ltd_Sector_53_Gurgaon,-64631.16,0.00,0.00,0.00,0.00,0.00,-12742.64,-11053.40
62,Rico_Auto_Industries_Ltd,-297604.82,-412519.69,0.00,0.00,0.00,0.00,0.00,-101446.36
63,SLS_Power_Corporation_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,SP_Spinning_Mills_Pvt_Ltd_SEDC_HTSC_74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Sainj_HEP_(100_MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Sakku_Spinning_Mills_Ltd,-23842.46,-1692.41,0.00,0.00,0.00,0.00,0.00,-3647.84
67,Sathavahana_Ispat_Limited_(SIL),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Shamanur_Sugars_Limited_(SSL),-35421.90,-30498.19,-29098.89,-28367.80,-37833.49,-34166.23,-38032.14,-33345.52
69,Shiva_Mills_Limited_DEDC_HTSC_84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Shiva_Textyarn_Ltd_Karanampettai,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Shri_hiranyakeshi_sahakari_Sakkare_Karkhane_Niyamit,-27214.92,-33704.18,-36457.49,-31991.84,-37331.70,-43020.17,-35801.41,-35074.53
72,Shriram_Foundary_Pvt_Ltd,-350349.96,-395915.16,-429084.95,-326189.20,-161188.54,-408817.16,-420999.78,-356077.82
73,Smartchem_Technologies_Ltd,-46381.40,-15561.41,0.00,-21818.91,0.00,0.00,0.00,-11965.96
74,Space_Textiles_(P)_Ltd_CBE_SEDC_HTSC_242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Star_Metallics_and_Power_Private_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Tata_Motors_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Tata_Power_Haldia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Tata_Power_Solar_Systems_Limited_Unit_2_Electronic_City_Bangalore,-90622.92,-57751.29,-63336.24,-152794.86,0.00,0.00,-62183.42,-60955.53
79,Tata_Sponge_Iron_Ltd_Joda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Tata_Steel_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Tata_Steel_Limited_Ferro_Alloys_Plant_Joda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
